jobTitle,company,location,experience,salary,jobLink,skills
Data Analyst,Version 1,Bengaluru,0-3 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-version-1-bengaluru-0-to-3-years-031224500572,"Computer science, Data analysis, Analytical, Agile, Data analytics, data visualization, Business intelligence, Operations"
Data Analyst,Wolters Kluwer - Medknow Publications,"Kalyani, Pune",3-5 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-wolters-kluwer-medknow-publications-kalyani-pune-3-to-5-years-031224503797,"Computer science, Backend, Data analysis, Data analytics, Data mining, Stakeholder management, Operations, SQL"
Data Analyst,Indegene,Bengaluru,0-4 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-indegene-private-limited-bengaluru-0-to-4-years-031224508085,"Automation, Data analysis, Business analytics, Machine learning, Healthcare, Macros, SQL, Python"
Data Analyst,Klene Paks,Bengaluru(Bannerghatta Road),3-8 Yrs,3.75-6 Lacs PA,https://www.naukri.com/job-listings-data-analyst-klene-paks-bengaluru-3-to-8-years-021224011691,"HLOOKUP, Pivot Table, VLOOKUP, Excel Macros, Data Research, Excel Dashboards, Data Management, Formulas"
Team Member Data Analyst,Bajaj Allianz General Insurance,Pune,0-4 Yrs,Not disclosed,https://www.naukri.com/job-listings-team-member-data-analyst-bajaj-allianz-general-insurance-company-ltd-pune-0-to-4-years-271124500486,"Automation, Data validation, Process efficiency, Actuarial, Data quality, Data analytics, Data Analyst, Manager Quality Control"
Cloud Data Analyst,IBM,Bengaluru,5-10 Yrs,Not disclosed,https://www.naukri.com/job-listings-cloud-data-analyst-ibm-india-pvt-limited-bengaluru-5-to-10-years-261124922266,"python, data analytics, consumables, team leadership, rest api development, rest, data analysis, data processing"
ESG Data Analyst - ESG Newsroom,Institutional Shareholder Services,Mumbai,0-3 Yrs,Not disclosed,https://www.naukri.com/job-listings-esg-data-analyst-esg-newsroom-institutional-shareholder-services-inc-mumbai-0-to-3-years-031224508108,"Environmental science, Corporate governance, Business analytics, Diversity and Inclusion, ISS, power bi, Data Analyst, data visualization"
ESG Data Analyst : ESG Newsroom,ISS Corporate Solutions,Mumbai,0-3 Yrs,Not disclosed,https://www.naukri.com/job-listings-esg-data-analyst-esg-newsroom-iss-corporate-solutions-mumbai-0-to-3-years-031224500573,"Environmental science, Corporate governance, Business analytics, Diversity and Inclusion, Corporate, ISS, power bi, Workflow"
ESG Data Analyst : ESG Newsroom,Social Corporate Solutions,Mumbai,0-3 Yrs,Not disclosed,https://www.naukri.com/job-listings-esg-data-analyst-esg-newsroom-social-corporate-solutions-mumbai-0-to-3-years-031224500550,"Environmental science, Corporate governance, Business analytics, Diversity and Inclusion, Corporate, ISS, power bi, Workflow"
Openings For Data Analyst with Relevantz,Relevantz Technology Services,Chennai,5-10 Yrs,8-16 Lacs PA,https://www.naukri.com/job-listings-openings-for-data-analyst-with-relevantz-relevantz-technology-services-chennai-5-to-10-years-011224002550,"Data analyst, Banking Sector, Data Warehousing, ETL, Business Intelligence, Banking Process, Data Visualization, Data Modeling"
